ЖКХ Якутии выпуск 1|RU000A100PB0|BBB
ОбъединениеАгроЭлита выпуск 3|RU000A100CG7|BB+|Голдман Групп
ТД Мясничий выпуск 3|RU000A1006B5|BB+|Голдман Групп
ИС петролеум выпуск 1|RU000A1013C9|BB+|Голдман Групп
Оренбургская область выпуск 3|RU000A0JVM81|A+
НПО Химтэк выпуск 1|RU000A103H25|BBB
Автодор БО-3 выпуск 2|RU000A104XR2|AA+
БЭЛТИ-ГРАНД выпуск 4|RU000A103DY2|BB+|Рейтинга нет, это примерный судя по частной аналитике 
Аренза-Про выпуск 1|RU000A104C78|BB-
ДОМ.РФ ИА 001Р-25|RU000A105H23|AAA
ДОМ.РФ ИА 002P|RU000A0ZYJT2|AAA
Инкаб выпуск 1|RU000A1049M2|BB+
Первое коллекторское бюро 001Р выпуск 3|RU000A1047S3|BBB+
Феррони БО-01|RU000A1053R3|BB-
Глобал Факторинг Нетворк Рус|RU000A105JN7|B
ТД Синтеком|RU000A103G83|C
КЛС-Трейд БО-02|RU000A105QL6|BB-
ТАЛАН-ФИНАНС 001P-03|RU000A1043B8|BB+
Мосрегионлифт БО-01|RU000A105RU5|B
Агротек выпуск 1|RU000A105QZ6|BB
ГК Пионер-001P выпуск 6|RU000A104735|A-
re:Store выпуск 1|RU000A103935|BBB+
Роснано БО-002P выпуск 4|RU000A101KK0|C
МаксимаТелеком выпуск 2|RU000A102DK3|B
ТЕХНО Лизинг выпуск 4|RU000A1032X5|BBB-
ТЕХНО Лизинг выпуск 5|RU000A103TS0|BBB-
Легенда выпуск 4|RU000A102Y66|BBB-
Завод КЭС 1P-03|RU000A105AW7|B+
Аэрофьюэлз выпуск 1|RU000A102T97|BBB
ТФН выпуск 1|RU000A102QY6|BB
ДиректЛизинг выпуск 7|RU000A103S30|BB
Нафтатранс Плюс выпуск 3|RU000A102V51|B-
Маныч-Агро выпуск 1|RU000A1032D7|BB-
Брусника выпуск 2Р-1|RU000A1048A9|A-
Сегежа Групп 003P-02R|RU000A105SP3|A
СибАвтоТранс выпуск 1|RU000A105SZ2|BB-
Аренза-Про 001P-01|RU000A105TR7|BB-
Патриот Групп выпуск 1|RU000A105AX5|BBB-
Реиннольц|RU000A105LS2|BB-
УК ОРГ выпуск 1|RU000A104UY4|C
Энергоника 001Р-03|RU000A105492|BB+
Группа Продовольствие 001P-02|RU000A105EP3|B+
Реаторг 001Р-01|RU000A105BP9|BBB-
Ника 001P-01|RU000A1050X7|B-
Центр-Резерв БО-01|RU000A104TG3|B
Центр-Резерв БО-02|RU000A1056T2|B
Электроаппарат БО-01|RU000A104WZ7|B+
Соби-Лизинг 001P-01|RU000A105CL6|BB
Сибстекло БО-П03|RU000A105C93|BB-
Эталон выпуск 002Р-01|RU000A105VU7|A-
РКК выпуск 1|RU000A105VP7|B
